ダウンロードした時刻：2021/02/03 17:21:51

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
2014/12/18,4.0,8,2,8.3,8,2,-1.3,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2014/12/19,5.4,8,2,9.5,8,2,0.0,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,曇一時晴,8,1
2014/12/20,5.3,8,2,7.6,8,2,3.4,8,2,21.0,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨時々曇後晴,8,1
2014/12/21,8.6,8,2,12.6,8,2,4.2,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇時々晴,8,1
2014/12/22,7.1,8,2,11.4,8,2,3.1,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2014/12/23,6.3,8,2,11.2,8,2,2.4,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,晴時々薄曇,8,1
2014/12/24,5.9,8,2,11.9,8,2,1.4,8,2,0,1,8,1,0,1,8,1,0,1,8,1,薄曇後晴,8,1,快晴,8,1
2014/12/25,6.3,8,2,11.5,8,2,3.1,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴時々曇,8,1
2014/12/26,5.1,8,2,10.0,8,2,0.4,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2014/12/27,4.6,8,2,8.7,8,2,1.8,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴,8,1
2014/12/28,3.8,8,2,8.0,8,2,-0.6,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,曇後雨,8,1
2014/12/29,4.2,8,2,6.1,8,2,2.5,8,2,5.5,0,8,1,0,1,8,1,0,1,8,1,雨後時々曇,8,1,晴一時曇,8,1
2014/12/30,6.6,8,2,12.2,8,2,1.8,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2014/12/31,8.0,8,2,12.9,8,2,1.8,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴一時曇,8,1
2015/1/1,3.7,8,2,8.2,8,2,0.7,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雪,8,1,快晴,8,1
2015/1/2,2.7,8,2,7.9,8,2,-2.2,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴一時曇,8,1
2015/1/3,3.8,8,2,8.9,8,2,-1.1,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後薄曇,8,1
2015/1/4,4.0,8,2,9.3,8,2,-0.4,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,快晴,8,1
2015/1/5,6.9,8,2,12.9,8,2,1.3,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,曇一時晴,8,1
2015/1/6,10.8,8,2,16.0,8,2,5.8,8,2,6.5,0,8,1,0,1,8,1,0,1,8,1,曇後時々雨,8,1,曇時々晴,8,1
2015/1/7,5.6,8,2,10.2,8,2,3.0,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,快晴,8,1
2015/1/8,6.2,8,2,11.2,8,2,2.0,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2015/1/9,6.7,8,2,11.0,8,2,3.5,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2015/1/10,6.3,8,2,11.2,8,2,1.9,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2015/1/11,6.4,8,2,10.8,8,2,0.2,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴一時曇,8,1
2015/1/12,5.2,8,2,9.0,8,2,2.0,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2015/1/13,6.6,8,2,11.8,8,2,2.5,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴,8,1
2015/1/14,6.6,8,2,11.5,8,2,1.2,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇,8,1
2015/1/15,5.4,8,2,8.2,8,2,3.4,8,2,35.5,0,8,1,0,1,8,1,0,1,8,1,大雨一時曇,8,1,雨後晴,8,1
2015/1/16,8.9,8,2,13.2,8,2,4.9,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇後晴,8,1
2015/1/17,5.9,8,2,11.6,8,2,1.3,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2015/1/18,4.7,8,2,10.9,8,2,-0.5,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴時々薄曇,8,1
2015/1/19,5.7,8,2,11.7,8,2,-0.7,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2015/1/20,6.3,8,2,11.2,8,2,2.7,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後曇,8,1
2015/1/21,2.5,8,2,3.8,8,2,1.5,8,2,4.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雪後雨,8,1,曇一時雨,8,1
2015/1/22,4.6,8,2,5.6,8,2,3.2,8,2,7.5,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,雨,8,1
2015/1/23,6.9,8,2,12.8,8,2,3.7,8,2,7.5,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,快晴,8,1
2015/1/24,4.9,8,2,8.1,8,2,2.9,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,快晴,8,1
2015/1/25,7.0,8,2,12.2,8,2,0.9,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,曇後一時雨,8,1
2015/1/26,9.0,8,2,12.9,8,2,5.6,8,2,0.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,雨一時曇,8,1
2015/1/27,9.8,8,2,16.4,8,2,5.8,8,2,14.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇一時雨,8,1,曇時々雨後一時みぞれ,8,1
2015/1/28,5.2,8,2,9.7,8,2,1.4,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇一時雪,8,1,快晴,8,1
2015/1/29,3.9,8,2,8.2,8,2,-0.9,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,曇後一時雪,8,1
2015/1/30,2.2,8,2,4.7,8,2,0.4,8,2,16.5,0,8,1,3,0,8,1,3,0,8,1,雪一時みぞれ後雨,8,1,晴時々曇,8,1
2015/1/31,4.9,8,2,10.5,8,2,0.8,8,2,0,1,8,1,1,0,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2015/2/1,4.0,8,2,8.6,8,2,0.7,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2015/2/2,4.7,8,2,9.6,8,2,1.0,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴,8,1
2015/2/3,4.7,8,2,10.3,8,2,0.4,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴時々曇,8,1
2015/2/4,5.2,8,2,9.6,8,2,1.1,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々薄曇,8,1,曇,8,1
2015/2/5,2.6,8,2,5.1,8,2,1.1,8,2,9.0,0,8,1,0,1,8,1,0,1,8,1,雨時々みぞれ,8,1,雨後晴,8,1
2015/2/6,5.4,8,2,12.0,8,2,-0.3,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2015/2/7,5.3,8,2,9.6,8,2,1.2,8,2,1.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨後曇一時晴,8,1
2015/2/8,4.0,8,2,6.8,8,2,2.0,8,2,6.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,晴時々曇,8,1
2015/2/9,2.0,8,2,4.9,8,2,-0.6,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇後時々晴,8,1,晴,8,1
2015/2/10,3.2,8,2,8.1,8,2,-2.4,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2015/2/11,5.6,8,2,10.9,8,2,0.2,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,薄曇時々晴,8,1
2015/2/12,7.0,8,2,13.0,8,2,1.2,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴一時曇,8,1
2015/2/13,5.0,8,2,12.3,8,2,1.1,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,快晴,8,1
2015/2/14,4.9,8,2,10.6,8,2,-1.4,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2015/2/15,5.5,8,2,11.7,8,2,0.3,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後一時薄曇,8,1
2015/2/16,7.0,8,2,13.2,8,2,1.5,8,2,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,薄曇時々晴,8,1
2015/2/17,3.9,8,2,5.4,8,2,1.3,8,2,3.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇一時雪,8,1,雨,8,1
2015/2/18,3.3,8,2,4.3,8,2,2.5,8,2,10.5,0,8,1,0,1,8,1,0,1,8,1,雨、みぞれを伴う,8,1,曇一時雨後晴,8,1
2015/2/19,6.2,8,2,13.0,8,2,0.9,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴一時曇,8,1
2015/2/20,6.3,8,2,11.9,8,2,2.5,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2015/2/21,6.2,8,2,10.5,8,2,2.0,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇後一時雨,8,1
2015/2/22,6.3,8,2,8.0,8,2,4.4,8,2,1.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,雨一時曇,8,1
2015/2/23,10.7,8,2,19.2,8,2,6.3,8,2,16.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇時々晴一時雨,8,1
2015/2/24,9.7,8,2,12.7,8,2,7.2,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2015/2/25,9.2,8,2,13.2,8,2,7.5,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇,8,1
2015/2/26,6.6,8,2,7.9,8,2,5.0,8,2,14.5,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,雨一時曇後晴,8,1
2015/2/27,8.2,8,2,15.3,8,2,3.8,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇一時晴,8,1
2015/2/28,7.4,8,2,12.8,8,2,3.0,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,曇後一時雨,8,1
2015/3/1,6.9,8,2,9.8,8,2,5.4,8,2,29.0,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,雨一時曇後晴,8,1
2015/3/2,9.3,8,2,14.1,8,2,5.1,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴時々曇,8,1
2015/3/3,5.6,8,2,7.7,8,2,3.6,8,2,0.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,雨一時曇,8,1
2015/3/4,9.6,8,2,17.5,8,2,3.2,8,2,18.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴一時雨,8,1,薄曇,8,1
2015/3/5,9.3,8,2,14.3,8,2,5.4,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,曇,8,1
2015/3/6,7.3,8,2,12.0,8,2,4.9,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨一時曇,8,1
2015/3/7,6.0,8,2,8.2,8,2,3.9,8,2,4.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇時々雨,8,1
2015/3/8,8.2,8,2,10.9,8,2,5.9,8,2,0.5,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,曇,8,1
2015/3/9,9.0,8,2,9.9,8,2,8.4,8,2,23.0,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,雨後一時曇,8,1
2015/3/10,7.7,8,2,13.7,8,2,1.7,8,2,2.5,0,8,1,0,1,8,1,0,1,8,1,曇時々晴後一時雨、みぞれを伴う,8,1,晴,8,1
2015/3/11,6.2,8,2,12.2,8,2,-0.4,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴一時曇,8,1
2015/3/12,8.6,8,2,14.8,8,2,3.6,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴一時薄曇,8,1,快晴,8,1
2015/3/13,8.9,8,2,14.4,8,2,1.8,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2015/3/14,8.9,8,2,13.5,8,2,4.7,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇一時晴,8,1
2015/3/15,8.4,8,2,13.0,8,2,4.9,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,曇一時晴,8,1
2015/3/16,11.1,8,2,16.0,8,2,7.3,8,2,10.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,雨後一時晴,8,1
2015/3/17,14.5,8,2,21.2,8,2,9.2,8,2,0.5,0,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,晴時々曇,8,1
2015/3/18,14.8,8,2,21.7,8,2,10.7,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇後時々雨,8,1
2015/3/19,11.9,8,2,15.9,8,2,10.3,8,2,5.0,0,8,1,0,1,8,1,0,1,8,1,曇後雨,8,1,曇,8,1
2015/3/20,11.8,8,2,14.9,8,2,9.9,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇一時晴,8,1
2015/3/21,10.5,8,2,16.0,8,2,7.2,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨後時々晴,8,1,曇時々晴,8,1
2015/3/22,12.9,8,2,18.7,8,2,6.6,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴一時雨,8,1
2015/3/23,10.7,8,2,17.0,8,2,4.7,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,晴一時曇,8,1
2015/3/24,8.2,8,2,15.1,8,2,3.9,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴一時曇,8,1
2015/3/25,8.1,8,2,14.3,8,2,2.7,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2015/3/26,9.5,8,2,15.8,8,2,4.9,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2015/3/27,12.3,8,2,20.4,8,2,4.0,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴,8,1
2015/3/28,14.1,8,2,20.6,8,2,7.6,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,快晴,8,1
2015/3/29,14.6,8,2,21.1,8,2,9.0,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,晴一時雨,8,1
2015/3/30,16.2,8,2,23.6,8,2,9.4,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2015/3/31,16.7,8,2,23.2,8,2,9.8,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後一時薄曇,8,1
2015/4/1,13.9,8,2,18.7,8,2,8.8,8,2,1.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,雨後曇時々晴,8,1
2015/4/2,11.6,8,2,17.4,8,2,6.5,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴時々曇,8,1
2015/4/3,17.3,8,2,20.6,8,2,12.1,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇,8,1
2015/4/4,13.2,8,2,19.1,8,2,10.0,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇後一時雨,8,1
2015/4/5,10.3,8,2,11.4,8,2,8.6,8,2,8.0,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,曇,8,1
2015/4/6,16.2,8,2,22.9,8,2,11.2,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇後一時雨,8,1,雨時々曇,8,1
2015/4/7,10.0,8,2,13.0,8,2,6.9,8,2,4.5,0,8,1,0,1,8,1,0,1,8,1,雨,8,1,雨,8,1
2015/4/8,4.1,8,2,7.6,8,2,2.4,8,2,20.0,0,8,1,0,1,8,1,0,1,8,1,雨一時みぞれ,8,1,曇,8,1
2015/4/9,7.4,8,2,13.2,8,2,3.2,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,晴後薄曇,8,1
2015/4/10,8.3,8,2,12.1,8,2,5.3,8,2,9.5,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,雨,8,1
2015/4/11,11.5,8,2,16.2,8,2,8.4,8,2,7.5,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,曇時々晴一時雨,8,1
2015/4/12,12.9,8,2,18.0,8,2,8.4,8,2,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,曇,8,1
2015/4/13,9.7,8,2,11.3,8,2,8.5,8,2,36.5,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,雨後時々曇,8,1
2015/4/14,12.1,8,2,14.1,8,2,9.3,8,2,22.5,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,雨後一時晴,8,1
2015/4/15,15.4,8,2,21.4,8,2,10.5,8,2,2.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴一時曇、雷を伴う,8,1
2015/4/16,15.7,8,2,21.5,8,2,8.8,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,薄曇一時晴,8,1
2015/4/17,16.4,8,2,24.9,8,2,9.3,8,2,3.5,0,8,1,0,1,8,1,0,1,8,1,晴時々曇一時雨,8,1,曇一時雨後晴,8,1
2015/4/18,14.0,8,2,19.7,8,2,6.8,8,2,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,薄曇一時晴,8,1
2015/4/19,14.3,8,2,17.2,8,2,10.4,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,曇,8,1
2015/4/20,18.4,8,2,20.7,8,2,13.6,8,2,10.5,0,8,1,0,1,8,1,0,1,8,1,雨時々曇,8,1,雨後曇,8,1
2015/4/21,17.5,8,2,20.5,8,2,13.9,8,2,0.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇後一時晴,8,1
2015/4/22,15.7,8,2,21.4,8,2,11.2,8,2,2.5,0,8,1,0,1,8,1,0,1,8,1,晴後曇一時雨,8,1,雨後晴一時曇,8,1
2015/4/23,18.0,8,2,24.8,8,2,11.9,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,薄曇,8,1
2015/4/24,18.3,8,2,23.9,8,2,14.0,8,2,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,薄曇,8,1
2015/4/25,17.2,8,2,22.9,8,2,12.6,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,晴時々曇,8,1,晴時々曇,8,1
2015/4/26,17.8,8,2,23.8,8,2,12.4,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2015/4/27,19.3,8,2,25.0,8,2,13.3,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,快晴,8,1
2015/4/28,20.8,8,2,27.2,8,2,14.6,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,薄曇,8,1
2015/4/29,19.4,8,2,24.3,8,2,15.0,8,2,0,1,8,1,0,1,8,1,0,1,8,1,薄曇後時々晴,8,1,晴後一時曇,8,1
2015/4/30,19.0,8,2,24.0,8,2,14.7,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,快晴,8,1
2015/5/1,20.5,8,2,27.5,8,2,14.5,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2015/5/2,21.0,8,2,27.6,8,2,15.2,8,2,0,1,8,1,0,1,8,1,0,1,8,1,快晴,8,1,晴後曇,8,1
2015/5/3,21.2,8,2,27.0,8,2,17.2,8,2,0,1,8,1,0,1,8,1,0,1,8,1,薄曇時々晴,8,1,薄曇後一時雨,8,1
2015/5/4,21.6,8,2,26.6,8,2,18.5,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,曇一時晴,8,1
2015/5/5,18.3,8,2,22.4,8,2,13.1,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇後晴,8,1,快晴,8,1
2015/5/6,18.2,8,2,24.7,8,2,11.6,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,薄曇,8,1
2015/5/7,19.1,8,2,24.7,8,2,15.7,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨後晴,8,1,晴後曇,8,1
2015/5/8,20.7,8,2,26.8,8,2,15.8,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴一時曇,8,1,薄曇一時晴,8,1
2015/5/9,18.7,8,2,21.3,8,2,16.3,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇一時雨,8,1
2015/5/10,19.7,8,2,27.0,8,2,13.8,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々曇,8,1,晴一時曇,8,1
2015/5/11,17.2,8,2,23.5,8,2,12.1,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,薄曇後時々雨,8,1
2015/5/12,19.6,8,2,22.7,8,2,15.9,8,2,58.5,0,8,1,0,1,8,1,0,1,8,1,曇後一時雨,8,1,大雨後晴一時薄曇,8,1
2015/5/13,22.5,8,2,28.4,8,2,17.4,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴,8,1
2015/5/14,23.1,8,2,28.6,8,2,16.9,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,薄曇後晴,8,1
2015/5/15,22.7,8,2,27.8,8,2,18.9,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後曇,8,1,薄曇後一時雨,8,1
2015/5/16,20.9,8,2,23.7,8,2,19.5,8,2,3.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇,8,1
2015/5/17,22.2,8,2,27.8,8,2,18.9,8,2,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,薄曇,8,1
2015/5/18,21.5,8,2,26.2,5,2,17.5,8,2,3.5,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,雨時々曇,8,1
2015/5/19,20.2,8,2,24.2,8,2,16.6,8,2,4.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇,8,1
2015/5/20,22.2,8,2,27.3,8,2,18.3,8,2,0.5,0,8,1,0,1,8,1,0,1,8,1,晴時々薄曇,8,1,曇時々雨、雷を伴う,8,1
2015/5/21,19.5,8,2,25.7,8,2,13.4,8,2,8.5,0,8,1,0,1,8,1,0,1,8,1,晴,8,1,晴後時々薄曇,8,1
2015/5/22,20.5,8,2,26.0,8,2,15.0,8,2,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,晴,8,1
2015/5/23,21.6,8,2,27.1,8,2,16.1,8,2,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,曇,8,1
2015/5/24,21.0,8,2,26.0,8,2,17.3,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,薄曇時々晴,8,1
2015/5/25,21.3,8,2,26.1,8,2,16.6,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇後晴,8,1
2015/5/26,23.3,8,2,30.9,8,2,16.9,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴,8,1,快晴,8,1
2015/5/27,23.9,8,2,30.2,8,2,18.7,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,曇一時晴,8,1
2015/5/28,22.1,8,2,26.8,8,2,18.4,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇後一時晴,8,1,曇,8,1
2015/5/29,20.7,8,2,22.8,8,2,18.3,8,2,9.0,0,8,1,0,1,8,1,0,1,8,1,曇後時々雨,8,1,曇時々雨後一時晴,8,1
2015/5/30,23.4,8,2,29.6,8,2,18.4,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後時々薄曇,8,1,曇,8,1
2015/5/31,25.7,8,2,32.2,8,2,20.6,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,晴後一時薄曇,8,1,曇,8,1
2015/6/1,23.6,8,2,27.7,8,2,20.8,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,薄曇時々晴,8,1
2015/6/2,23.5,8,2,28.7,8,2,19.7,8,2,0,1,8,1,0,1,8,1,0,1,8,1,曇時々晴,8,1,曇後一時雨,8,1
2015/6/3,21.7,8,2,22.9,8,2,20.1,8,2,16.0,0,8,1,0,1,8,1,0,1,8,1,雨一時曇,8,1,曇時々晴,8,1
2015/6/4,23.1,8,2,29.1,8,2,18.6,8,2,0,1,8,1,0,1,8,1,0,1,8,1,薄曇後晴,8,1,晴後薄曇,8,1
2015/6/5,18.8,8,2,22.5,8,2,14.2,8,2,27.0,0,8,1,0,1,8,1,0,1,8,1,曇後時々雨,8,1,大雨,8,1
2015/6/6,18.0,8,2,24.6,8,2,13.4,8,2,23.5,0,8,1,0,1,8,1,0,1,8,1,曇時々雨一時晴,8,1,曇一時晴,8,1
2015/6/7,20.8,8,2,25.5,8,2,16.1,8,2,0,1,8,1,0,1,8,1,0,1,8,1,晴後薄曇,8,1,薄曇時々晴,8,1
2015/6/8,21.0,8,2,25.3,8,2,17.2,8,2,0.5,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,雨一時曇,8,1
2015/6/9,19.5,8,2,21.9,8,2,17.3,8,2,33.0,0,8,1,0,1,8,1,0,1,8,1,曇時々雨,8,1,曇後一時晴,8,1
2015/6/10,22.6,8,2,27.8,8,2,17.5,8,2,0,1,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,薄曇,8,1
2015/6/11,23.0,8,2,27.5,8,2,18.9,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,薄曇,8,1,曇後雨,8,1
2015/6/12,21.4,8,2,25.0,8,2,18.9,8,2,4.5,0,8,1,0,1,8,1,0,1,8,1,雨後曇,8,1,曇時々雨,8,1
2015/6/13,24.0,8,2,29.0,8,2,20.8,8,2,0.0,0,8,1,0,1,8,1,0,1,8,1,曇一時晴,8,1,曇後時々雨,8,1
2015/6/14,22.5,8,2,26.8,8,2,20.5,8,2,1.5,0,8,1,0,1,8,1,0,1,8,1,曇一時雨,8,1,曇後一時晴,8,1
2015/6/15,24.6,8,2,30.8,8,2,19.5,8,2,0,1,8,1,0,1,8,1,0,1,8,1,薄曇一時晴,8,1,薄曇,8,1
2015/6/16,23.3,8,2,27.2,8,2,20.0,8,2,31.0,0,8,1,0,1,8,1,0,1,8,1,曇,8,1,曇一時大雨,8,1
